"hoboID","site","year","rep","unit","folder","integral_mol","integral_lux","integral_mol_3p","integral_lux_3p","integral_mol_5p","integral_lux_5p"
"N319","N3","17","a","H19","N317a",73698.41855,3983698.3,73749.3965333332,3986453.86666667,73708.6139,3984249.4
"N324","N3","17","a","H24","N317a",50487.0476,2729029.6,50833.2744833332,2747744.56666667,51091.13846,2761683.16
"N342","N3","17","a","H42","N317a",65176.13085,3523034.1,65190.9992999999,3523837.8,65268.8469300001,3528045.78
"N328","N3","17","a","H28","N317a",77556.23835,4192229.1,77441.5377333332,4186029.06666667,77308.9943600001,4178864.56
"N341","N3","17","a","H41","N317a",30389.9204,1642698.4,30713.8442999999,1660207.8,31000.3841400001,1675696.44
"N347","N3","17","a","H47","N317a",62872.74395,3398526.7,62872.7433333333,3398526.66666667,62842.1560500001,3396873.3
"N320","N3","17","a","H20","N317a",80834.5623,4369435.8,80902.5325333333,4373109.86666667,80936.51802,4374946.92
"N332","N3","17","a","H32","N317a",29015.3149,1568395.4,29073.7267999999,1571552.8,29054.8220200001,1570530.92
"N314","N3","17","a","H14","N317a",19026.38235,1028453.1,19209.0544333333,1038327.26666667,19352.96137,1046106.02
"N353","N3","17","a","H53","N317a",80812.2624,4368230.4,80221.76645,4336311.7,79698.3918300001,4308021.18
"N302","N3","17","a","H02","N317a",51263.08005,2770977.3,51076.1603666666,2760873.53333333,50850.15746,2748657.16
"N348","N3","17","a","H48","N317a",61858.3612,3343695.2,61807.3838333333,3340939.66666667,61784.4440800001,3339699.68
"N322","N3","17","a","H22","N317a",36764.7688,1987284.8,37053.6456833332,2002899.76666667,37162.39929,2008778.34
"N344","N3","17","a","H44","N317a",63652.54115,3440677.9,63380.6583666666,3425981.53333333,63270.2060900001,3420011.14
"N335","N3","17","a","H35","N317a",6844.408,369968,7338.52449999987,396677.000000005,7728.67951000009,417766.460000001
"N315","N3","17","a","H15","N317a",36292.2307,1961742.2,36250.8110499999,1959503.3,36273.11428,1960708.88
"N323","N3","17","a","H23","N317a",83067.035,4490110,82739.9247833332,4472428.36666667,82628.62274,4466412.04
"N334","N3","17","a","H34","N317a",76977.35855,4160938.3,76433.3925666665,4131534.73333334,76142.4720500001,4115809.3
"N317","N3","17","a","H17","N317a",63050.17375,3408117.5,62954.5891833332,3402950.76666667,62836.06511,3396544.06
"N336","N3","17","a","H36","N317a",76354.67075,4127279.5,76128.3886166665,4115048.03333334,75819.7188300001,4098363.18
"N308","N3","17","a","H08","N317a",63740.9656,3445457.6,63605.0245166666,3438109.43333334,63565.09165,3435950.9
"N311","N3","17","a","H11","N317a",77121.1239,4168709.4,77176.3507166666,4171694.63333334,77108.37999,4168020.54
"N327","N3","17","a","H27","N317a",72606.78165,3924690.9,72645.0155999999,3926757.6,72790.3035000001,3934611
"N339","N3","17","a","H39","N317a",73733.46125,3985592.5,73758.9505499999,3986970.3,73812.4777100001,3989863.66
"N337","N3","17","a","H37","N317a",54886.3069,2966827.4,54996.7592999999,2972797.8,55146.2951700001,2980880.82
"N307","N3","17","a","H07","N317a",40429.2303,2185363.8,40480.2082833333,2188119.36666667,40385.89886,2183021.56
"N301","N3","17","a","H01","N317a",59844.12005,3234817.3,59712.42595,3227698.7,59562.46532,3219592.72
"N329","N3","17","a","H29","N317a",67181.57895,3631436.7,67364.2504166666,3641310.83333334,67505.2901000001,3648934.6
"N313","N3","17","a","H13","N317a",42189.5719,2280517.4,42201.2540333333,2281148.86666667,41994.26148,2269960.08
"N304","N3","17","a","H04","N317a",65739.06735,3553463.1,65505.4172833333,3540833.36666667,65405.16048,3535414.08
"N305","N3","17","a","H05","N317a",73502.07435,3973085.1,73485.0821,3972166.6,73453.64542,3970467.32
"N321","N3","17","a","H21","N317a",68168.50215,3684783.9,68092.0348666666,3680650.53333334,67990.07853,3675139.38
"N309","N3","17","a","H09","N317a",8377.53815,452839.9,8404.08934999997,454275.100000003,8465.47567999999,457593.280000001
"N346","N3","17","a","H46","N317a",53643.9135,2899671,53669.4027999999,2901048.8,53730.5767500001,2904355.5
"N318","N3","17","a","H18","N317a",71351.0479,3856813.4,71223.6032499999,3849924.5,71315.36362,3854884.52
"N333","N3","17","a","H33","N317a",16830.53595,909758.7,17203.3134166666,929908.833333338,17404.0400200001,940758.920000001
"N306","N3","17","a","H06","N317a",57808.3893,3124777.8,58003.8048,3135340.8,58170.33329,3144342.34
"N316","N3","17","a","H16","N317a",47095.61465,2545708.9,47208.1914666666,2551794.13333334,47228.1579,2552873.4
"N310","N3","17","a","H10","N317a",30572.72445,1652579.7,30422.9755833333,1644485.16666667,30255.38507,1635426.22
"N325","N3","17","a","H25","N317a",86173.12765,4658006.9,85967.0906833332,4646869.76666667,85836.67148,4639820.08
"N303","N3","17","a","H03","N317a",38274.4021,2068886.6,38508.0521666666,2081516.33333333,38674.58041,2090517.86
"N312","N3","17","a","H12","N317a",34870.0247,1884866.2,34785.0609833333,1880273.56666667,35058.6433,1895061.8
"N326","N3","17","a","H26","N317a",64406.06095,3481408.7,64333.8418833332,3477504.96666667,64184.3062600001,3469421.96
"N351","N3","17","a","H51","N317a",63157.9048,3413940.8,63366.06495,3425192.7,63433.1859100001,3428820.86
"N350","N3","17","a","H50","N317a",59219.24925,3201040.5,59028.0819666666,3190707.13333333,58928.6749300001,3185333.78
"N330","N3","17","a","H30","N317a",42347.48235,2289053.1,42271.0150666666,2284919.73333334,42225.1348200001,2282439.72
"N331","N3","17","a","H31","N317a",61122.3646,3303911.6,60941.8175499999,3294152.3,60862.3767000001,3289858.2
"GT05","GT","17","a","H05","GT17a",41299.6368,2232412.8,41206.17665,2227360.9,41187.48499,2226350.54
"GT15","GT","17","a","H15","GT17a",33043.77685,1786150.1,32793.1345333333,1772601.86666667,32559.48496,1759972.16
"GT36","GT","17","a","H36","GT17a",64753.74995,3500202.7,64702.7713499999,3497447.1,64463.17415,3484495.9
"GT01","GT","17","a","H01","GT17a",52134.0878,2818058.8,51161.2554333333,2765473.26666667,50420.58561,2725437.06
"GT31","GT","17","a","H31","GT17a",76763.88705,4149399.3,76551.4786833333,4137917.76666667,76452.92129,4132590.34
"GT32","GT","17","a","H32","GT17a",56811.5168,3070892.8,56709.5602166666,3065381.63333333,56633.09281,3061248.26
"GT47","GT","17","a","H47","GT17a",37780.35775,2042181.5,38028.87565,2055614.9,38338.5675,2072355
"GT24","GT","17","a","H24","GT17a",57867.73175,3127985.5,57610.7168,3114092.8,57331.18661,3098983.06
"GT35","GT","17","a","H35","GT17a",57412.1156,3103357.6,57539.5608666666,3110246.53333333,57646.61457,3116033.22
"GT14","GT","17","a","H14","GT17a",61878.2635,3344771,61937.7379166666,3347985.83333333,61847.67671,3343117.66
"GT07","GT","17","a","H07","GT17a",72799.34075,3935099.5,73071.22415,3949795.9,73013.44902,3946672.92
"GT26","GT","17","a","H26","GT17a",39458.8498,2132910.8,39620.2808,2141636.8,39706.09379,2146275.34
"GT39","GT","17","a","H39","GT17a",65012.0266,3514163.6,64901.5735833332,3508193.16666666,64827.86761,3504209.06
"GT17","GT","17","a","H17","GT17a",28184.5206,1523487.6,28205.8942666667,1524642.93333333,28214.86874,1525128.04
"GT10","GT","17","a","H10","GT17a",28442.8065,1537449,28621.22975,1547093.5,28789.45765,1556186.9
"GT46","GT","17","a","H46","GT17a",59904.6613,3238089.8,59811.2011499999,3233037.9,59639.5748,3223760.8
"GT33","GT","17","a","H33","GT17a",58285.9076,3150589.6,58566.2874333333,3165745.26666667,58810.98237,3178972.02
"GT43","GT","17","a","H43","GT17a",35147.41185,1899860.1,35361.9446333333,1911456.46666666,35664.83983,1927829.18
"GT04","GT","17","a","H04","GT17a",64173.68615,3468847.9,63993.1391,3459088.6,64033.49648,3461270.08
"GT30","GT","17","a","H30","GT17a",52240.8217,2823828.2,52291.7996833333,2826583.76666667,52307.09314,2827410.44
"GT53","GT","17","a","H53","GT17a",73637.0966,3980383.6,72694.0023666666,3929405.53333333,72365.19422,3911632.12
"GT34","GT","17","a","H34","GT17a",63529.87875,3434047.5,63342.9590666666,3423943.73333333,63183.22797,3415309.62
"GT02","GT","17","a","H02","GT17a",42964.992,2322432,43351.5754,2343328.4,43467.76317,2349608.82
"GT48","GT","17","a","H48","GT17a",56942.3525,3077965,56838.2727333333,3072339.06666667,56751.18497,3067631.62
"GT16","GT","17","a","H16","GT17a",53102.47215,2870403.9,53170.443,2874078,53349.71577,2883768.42
"GT12","GT","17","a","H12","GT17a",4997.04425,270110.5,5456.77726666664,294960.93333333,5834.83895000003,315396.700000001
"GT06","GT","17","a","H06","GT17a",72371.40245,3911967.7,72209.97145,3903241.7,72162.39167,3900669.82
"GT23","GT","17","a","H23","GT17a",13438.5147,726406.2,13755.0040666667,743513.733333329,13964.86412,754857.52
"GT09","GT","17","a","H09","GT17a",59409.4237,3211320.2,59409.4237,3211320.2,59248.84259,3202640.14
"GT44","GT","17","a","H44","GT17a",41931.89095,2266588.7,41810.8183166666,2260044.23333333,41710.13663,2254601.98
"GT42","GT","17","a","H42","GT17a",71566.90035,3868481.1,71498.9294999999,3864807,71296.71636,3853876.56
"GT11","GT","17","a","H11","GT17a",66114.63585,3573764.1,65828.4143333333,3558292.66666666,65588.60426,3545329.96
"GT41","GT","17","a","H41","GT17a",55846.1276,3018709.6,55646.4632666665,3007916.93333333,55515.4068,3000832.8
