rec,year,lon,lat,Dclip,Rclip,Dplane,Rplane,H,L,unit,dpHB,new_unit
CB,17,-689.5330658,2652.564741,2.324416286,1.523550873,2.309106425,1.470792875,0.316306078,0.75,43,-4.184396041,H43
CB,17,-690.682949,2652.073258,2.246343537,1.222657046,2.222294565,1.18539791,0.089282983,0.25,32,-4.124640576,H32
CB,17,-690.682949,2652.073258,2.314719635,1.248700394,2.29100051,1.207940325,0.142839636,0.5,32,-4.124640576,H32
CB,17,-690.682949,2652.073258,2.300792222,1.382392801,2.277891964,1.324011763,0.28976966,0.75,32,-4.124640576,H32
CB,18,-686.0508417,2649.141528,2.322354527,1.073025404,2.24094706,1.03774468,0.03599681,0.25,U14,-2.379578823,H48
CB,18,-686.0508417,2649.141528,2.558153129,1.126514328,2.400264068,1.035544733,0.03599681,0.5,U14,-2.379578823,H48
CB,18,-686.0508417,2649.141528,2.672227171,1.247947176,2.432512155,1.037253179,0.048359928,0.75,U14,-2.379578823,H48
CB,18,-686.767076,2650.240695,2.34664416,14.1675441,2.240622969,9.148019397,1.181852533,0.25,U24,-3.977372905,H38
CB,18,-686.767076,2650.240695,2.421291453,9.960989617,2.362363828,7.820752673,1.215233369,0.5,U24,-3.977372905,H38
CB,18,-686.767076,2650.240695,2.388647686,6.660273538,2.352720501,5.758367431,1.387233098,0.75,U24,-3.977372905,H38
CB,18,-685.9285044,2650.344011,2.377473217,1.654718266,2.274073736,1.317367106,0.096985518,0.25,U01,-3.050248095,H35
CB,18,-685.9285044,2650.344011,2.311730081,2.627213878,2.230822557,2.002817262,0.469843555,0.5,U01,-3.050248095,H35
CB,18,-685.9285044,2650.344011,2.386043319,2.574132605,2.325744936,2.099323671,0.505147883,0.75,U01,-3.050248095,H35
CB,18,-688.1919196,2651.150797,2.3385909,1.327080062,2.257909446,1.178583273,0.075445198,0.25,U26,-4.118608927,H36
CB,18,-688.1919196,2651.150797,2.445567649,1.291603,2.374073441,1.169912865,0.090609831,0.5,U26,-4.118608927,H36
CB,18,-688.1919196,2651.150797,2.427737511,1.393687563,2.355439639,1.231454287,0.173826071,0.75,U26,-4.118608927,H36
CB,18,-687.806809,2652.094083,2.232949289,2.658936521,2.231441863,2.644675989,0.33059706,0.25,U03,-4.223784608,H42
CB,18,-687.806809,2652.094083,2.301518123,2.763740116,2.301055473,2.759123606,0.519895571,0.5,U03,-4.223784608,H42
CB,18,-687.806809,2652.094083,2.343302637,2.275192138,2.34085128,2.256591133,0.519895571,0.75,U03,-4.223784608,H42
CB,18,-689.0219789,2651.936186,2.34323335,1.431723247,2.337544034,1.414675965,0.086910769,0.25,U19,-4.193903581,H29
CB,18,-689.0219789,2651.936186,2.376151478,1.470118617,2.373484113,1.461426832,0.159422775,0.5,U19,-4.193903581,H29
